Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=3Jv0Fycjc-w,inaudible,Music & Performance,Music video. Person singing in a different language
https://www.youtube.com/watch?v=V7vbNsPTJ2I,irrelevant,Gaming & Entertainment,Tv channel ad
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,Expression ap that converts your expressions to animations
https://www.youtube.com/watch?v=AFDe2rgqv08,inappropriate,Explicit Sexual Content,"Movie trailer with Explicit Sexual Content, physical violence and drinking"
https://www.youtube.com/watch?v=rbqiDETBsyc,irrelevant,Education & Learning,Toefl test ad
https://www.youtube.com/watch?v=X2dDJ5NpCv0,irrelevant,Home and Office,Home appliance sale ad
https://www.youtube.com/watch?v=zXOoza3sxiw,inaudible,Different Language,Music video in a different language
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,App for kids for education and learning
https://www.youtube.com/watch?v=NJYYseJfask,inappropriate,Adult Suggestive Content,Music video containing Adult Suggestive Content
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,App for kids for education and learning
https://www.youtube.com/watch?v=zUATlmQ9LK0,irrelevant,Music & Performance,Music video includes person singing a song
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,App for kids for education and learning
https://www.youtube.com/watch?v=_9XhKVKlVDI,irrelevant,Personal Care & Beauty,Dettol soap ad
https://www.youtube.com/watch?v=8AR3nVH22C0,irrelevant,Sports & Athletics,Includes Sports but the description is in a different language
https://www.youtube.com/watch?v=PoUvDV-wRkk,inappropriate,Adult Suggestive Content,Music video includes clips of Adult Suggestive Content and inappropriate clothing
https://www.youtube.com/watch?v=IqX7dda9w4I,child directed,DIY & Arts and Crafts,Arts video for kids on how to draw a sun
https://www.youtube.com/watch?v=twql3OLp6Lk,irrelevant,Home and Office,Air conditioning ad
https://www.youtube.com/watch?v=9eDd9rGftA4,inappropriate,Adult Suggestive Content,Music video containg Adult Suggestive Content
https://www.youtube.com/watch?v=i6ao_PLOLOg,inaudible,Different Language,Music video but the Audio is in different language
https://www.youtube.com/watch?v=0d1mlqnRdyQ,inaudible,Different Language,Different language
https://www.youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,A music video containing offensive lyrics and the cover is also dark and scary for younger audience
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Software,3D modeling software
https://www.youtube.com/watch?v=4sQ8oORxWiU,irrelevant,Motivation & Inspiration,Ad in a different language but can infer that its about donation
https://www.youtube.com/watch?v=XljKLCQgh54,irrelevant,Music & Performance,Music video on motherhood
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,App for kids for education and learning
https://www.youtube.com/watch?v=3rW86CuFfIk,irrelevant,Home and Office,Harpic cleaner ad
https://www.youtube.com/watch?v=QNXeE1ehBh0,irrelevant,Music & Performance,Instrumental rap music
https://www.youtube.com/watch?v=SAEW80hDsOk,irrelevant,Home and Office,Cleaner ad
https://www.youtube.com/watch?v=u4I93RiV0w0,child directed,Storytelling,A kid guessing different brand logos
https://www.youtube.com/watch?v=RkL3YP2usOE,irrelevant,Software,Godaddy ad for creating personalized emails
https://www.youtube.com/watch?v=uPuvbkHiJuw,irrelevant,Home and Office,AC split ad
https://www.youtube.com/watch?v=hfgPlWQim4U,irrelevant,Food and Cooking,dry tea cake ad
https://www.youtube.com/watch?v=xHesTfXX2sg,inappropriate,"Drinking, drugs, smoking",Music videos contains smoking and weapons
https://www.youtube.com/watch?v=gTGJa1BUIII,inappropriate,Gambling,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=DnuCGZTOLRA,irrelevant,Finance & Legal,
https://www.youtube.com/watch?v=IX3_QifUVNc,irrelevant,Personal Care & Beauty,Dettol ad
https://www.youtube.com/watch?v=tfpjMJGDs7g,irrelevant,Machinery,Ad about Farming and associated machines with their body parts. The audio was in a different language
https://www.youtube.com/watch?v=rutBKYlNfyM,irrelevant,Music & Performance,music video includes dance
https://www.youtube.com/watch?v=W7q-n_V1lyg,inaudible,Different Language,"Music video but the Audio is in different language, hints towards relationships/love"
https://www.youtube.com/watch?v=bcpcUv4KIxU,inappropriate,Explicit Sexual Content,Music video with a Adult Suggestive Content and explicit lyrics
https://www.youtube.com/watch?v=NBVfKWzlrP4,irrelevant,Home and Office,Internet Service Ad
