Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=Wma_iVqKRWw,inappropriate,Scariness,ad pertains to a music video;  some imagery including bones of animals may be distressing for kids; shows forests on fire
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,ad pertains to Adapted Mind's cartoon for teaching kids math
https://www.youtube.com/watch?v=5KRcG9gVhio,inappropriate,"Drinking, drugs, smoking",ad pertains to a Spanish music video; shows alcohol
https://www.youtube.com/watch?v=LEvKob0Kdi8,irrelevant,Personal Development,ad pertains to a pep talk on becoming a better listener
https://www.youtube.com/watch?v=1EYvCnQj1uQ,inappropriate,"Drinking, drugs, smoking",ad pertains to a spanish music video; portrays a woman drinking; 
https://www.youtube.com/watch?v=hkworAjntAI,inappropriate,Physical Violence,"ad pertains to a song about domestic violence; though it is about stopping domestic violence, it is unsuitable for children"
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,ad pertains to xpression camera for overlaying videos
https://www.youtube.com/watch?v=Wxw30ZAMhRI,child directed,Play and Adventure,"ad pertains to adventure with Mario and Luigi; cant really understand if its a show, a theatre performance or a theme park"
https://www.youtube.com/watch?v=IK2OFWzmXm0,irrelevant,Music & Performance,ad pertains to a KPOP song album trailer; somewhat audible
https://www.youtube.com/watch?v=EgOI6Nc2PxQ,irrelevant,Music & Performance,ad pertains to a concert
https://www.youtube.com/watch?v=0jVeb-caO3s,inappropriate,Adult Suggestive Content,ad pertains to a spanish music performance; lyrics contain inherent romantic dynamic
https://www.youtube.com/watch?v=qGJziQ8L7UY,inappropriate,Explicit Sexual Content,ad pertains to  what seems like a health app; shows two people kissing 
https://www.youtube.com/watch?v=PZHQSzm35fE,inappropriate,Adult Suggestive Content,ad pertains to a Punjabi music video; contains inherent romantic romantic dynamic
https://www.youtube.com/watch?v=tl4bGyK-dIk,irrelevant,Personal Care & Beauty,ad pertains to sanitary pads by Always
https://www.youtube.com/watch?v=0lSxjDYdvpQ,irrelevant,Music & Performance,ad pertains to a Hindi music video; 
https://www.youtube.com/watch?v=Ju5fRjOJk7M,inappropriate,Adult Suggestive Content,ad pertains to a Spanish music video; contains inherent romantic dynamic
https://www.youtube.com/watch?v=91RtI6ZG2bc,inaudible,Different Language,ad pertains to music video; in a different language; 
https://www.youtube.com/watch?v=XYZqASRpVjw,inappropriate,Adult Suggestive Content,ad pertains to a Punjabi music video; contains inherent romantic romantic dynamic; some frames potray Adult Suggestive Content
https://www.youtube.com/watch?v=tveNRvq_AHQ,irrelevant,Software,ad pertains to an app for buying clothes
https://www.youtube.com/watch?v=JI1wKCWXs-k,irrelevant,Cooking and Food,ad pertains to cereal
https://www.youtube.com/watch?v=wRphOClTu6U,irrelevant,Finance & Legal,ad pertains to student loans by MPOWER Financing
https://www.youtube.com/watch?v=yvHfl1JEPc0,irrelevant,Music & Performance,ad pertains to a song in a different language; subtitiles present; 
https://www.youtube.com/watch?v=tutsijNjRxQ,irrelevant,Software,ad pertains to Opera GX browser
https://www.youtube.com/watch?v=uxJnRMrPkkw,inappropriate,Explicit Sexual Content,ad pertains to a music video; contains some romantic dynamic; includes suggestive content
https://www.youtube.com/watch?v=SVEKXcznKns,inappropriate,Physical Violence,ad pertains to a music video; contains inherent romantic dynamiic; few lyrics talk about beating poeple; a scene shows a man harrassing a woman; shows some physical violence as well
https://www.youtube.com/watch?v=rw9KbLsLPlk,inappropriate,Interpersonal Violence,ad pertains to a Japanese stoyrtelling; shows weapons in the start; talks about killing
https://www.youtube.com/watch?v=BHWlOpk4RJQ,inappropriate,"Drinking, drugs, smoking",ad pertains to a spanish song; contains some romantic dynamic; shows people drinking; some displays of Adult Suggestive Content also present
https://www.youtube.com/watch?v=0bm4NHfPJ0I,inappropriate,Adult Suggestive Content,ad pertains to a Hindi song; lyrics have inherent romantic dynamic
https://www.youtube.com/watch?v=eIrbLp17VZM,irrelevant,Home and Lifestyle,ad pertains to a fridge
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,ad pertains to Adapted Mind's cartoon for teaching kids math
https://www.youtube.com/watch?v=7DJZ96vMqZc,irrelevant,Software,ad pertains to GoDaddy
https://www.youtube.com/watch?v=-9hNB-jt8_s,inappropriate,Extreme stunts ,ad pertains to Fast X movie trailer; shows explosions and car being crushed along with extreme stunts
