Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=Rg9DSNoiqrQ,inappropriate,Physical Violence,"game trailer with physical violence, scariness and display of weapons inclulding killing animals"
https://www.youtube.com/watch?v=gN9VKcnm7is,irrelevant,Food and Cooking,mayo recipe ad
https://www.youtube.com/watch?v=4kn-kwCQHiE,irrelevant,Personal Care & Beauty,surf excel detergent ad
https://www.youtube.com/watch?v=9YXd0T7_idA,irrelevant,Gaming & Entertainment,Movie trailer
https://www.youtube.com/watch?v=jL4cQuSas30,irrelevant,Business & Entrepreneurship,Grammarly ad for checking grammatical errors and correct english
https://www.youtube.com/watch?v=QVS6fdze_z8,irrelevant,Business & Entrepreneurship,Grammarly ad for checking grammatical errors and correct english
https://www.youtube.com/watch?v=NvhTO2eOULI,inappropriate,Adult Suggestive Content,music video with Adult Suggestive Content cheating and inappropriate clothing
https://www.youtube.com/watch?v=LdLnWbhVGNs,inappropriate,Self-harm & Suicide,music video with suicide as title and offensive language
https://www.youtube.com/watch?v=FYIDBhtSuzw,inappropriate,Display of weapons,movie trailer with weapons and fight
https://www.youtube.com/watch?v=0Ahim5aJmp8,irrelevant,Music & Performance,Music video with dance
https://www.youtube.com/watch?v=_rrErcP4E5Q,irrelevant,Food and Cooking,Nido ad Nutrition formula for kids
https://www.youtube.com/watch?v=xVkHIB1HR74,irrelevant,Food and Cooking,7up ad
https://www.youtube.com/watch?v=0Hoa3s0QrM0,irrelevant,Gaming & Entertainment,tv serial ad
https://www.youtube.com/watch?v=WhQfqd5WpE0,inappropriate,Adult Suggestive Content,adult language music video with Adult Suggestive Content
https://www.youtube.com/watch?v=AUn3cGd0eWA,irrelevant,Food and Cooking,coca cola ad
https://www.youtube.com/watch?v=TEKylYDbvy8,irrelevant,Tech & Gadgets,haier vlog
https://www.youtube.com/watch?v=Uo2XqNIyipI,irrelevant,Fashion,clothing brand ad
https://www.youtube.com/watch?v=qnBGKbLab1c,irrelevant,Tech & Gadgets,samsung mobile ad
https://www.youtube.com/watch?v=gvF0XKO4EvQ,inappropriate,Display of weapons,Game trailer include display of weapons violence and  killling
https://www.youtube.com/watch?v=mcEjGKFlmqQ,irrelevant,Tech & Gadgets,ptcl internet service ad
https://www.youtube.com/watch?v=o4qx-tZUUfE,irrelevant,Food and Cooking,7UP strawberry lemondae ad
https://www.youtube.com/watch?v=GpjPsIzGRY4,child directed,Cartoons,Peterpan story but was in a different language
https://www.youtube.com/watch?v=BbXwQ48r5SQ,irrelevant,Music & Performance,music video
https://www.youtube.com/watch?v=wSfMWWtEiAs,irrelevant,Nature & Environment,"vlog on nature, farming and planting"
https://www.youtube.com/watch?v=80K9DNNTFjk,irrelevant,Business & Entrepreneurship,real estate vlog
https://www.youtube.com/watch?v=_FCwqB7wJBA,irrelevant,Personal Care & Beauty,lifebuoy shampoo ad
https://www.youtube.com/watch?v=2cmSK4OVhyI,inaudible,Different Language,vlog in a different language
https://www.youtube.com/watch?v=tEqVyJNOroI,irrelevant,Software,flutter app dev ad
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Software,game editing software
https://www.youtube.com/watch?v=bkttDNQq370,irrelevant,Music & Performance,Music video
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,shopify app to let customers customize products
https://www.youtube.com/watch?v=IZztwWFVvdk,irrelevant,Tech & Gadgets,Telenor mobile network ad through a music video
https://www.youtube.com/watch?v=p_KDN_GCFnM,irrelevant,Personal Care & Beauty,glow and lovely cream
https://www.youtube.com/watch?v=Dr11r9Meemc,irrelevant,Parenting & Family,Nido ad Nutrition formula for kids
https://www.youtube.com/watch?v=U52VYy86f48,irrelevant,Parenting & Family,olpers flavored milk ad
https://www.youtube.com/watch?v=gsNLlCIptHQ,irrelevant,Gaming & Entertainment,tv drama ad
https://www.youtube.com/watch?v=E5Igdeq-6lY,irrelevant,Parenting & Family,Nido ad Nutrition formula for kids
https://www.youtube.com/watch?v=dsSKSUePfsQ,irrelevant,Food and Cooking,Nido ad Nutrition formula for kids
https://www.youtube.com/watch?v=lvBlJ4pbwtE,irrelevant,Personal Care & Beauty,wax ad
https://www.youtube.com/watch?v=6zP_KnLDHGY,inappropriate,Adult Suggestive Content,music video
https://www.youtube.com/watch?v=s27kADZ-qeg,irrelevant,Education & Learning,Grammarly ad for checking grammatical errors and correct english
https://www.youtube.com/watch?v=91N4uDCZ-mg,irrelevant,News & Current Affairs,unicef ad
https://www.youtube.com/watch?v=RAVwQ2aCAEU,irrelevant,Finance & Legal,digital dollar app
