Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=uCskXmWmNok,child directed,Cartoons,video from Star Wars: Young Jedi Adventures showing the characters going on an adventure for training
https://www.youtube.com/watch?v=7lgCLCJrP60,irrelevant,Software,ad about an app to streamline workflows in companies
https://www.youtube.com/watch?v=wHlwsE8znXA,irrelevant,Software,ad promoting presentation based software called canva
https://www.youtube.com/watch?v=S00iyCFRMfg,child directed,Play and Adventure,Ad showing the activities at universal's theme park
https://www.youtube.com/watch?v=wZ7Amwl-YAk,irrelevant,Machinery,house tools ad
https://www.youtube.com/watch?v=aVrkN-Ut4iA,irrelevant,Autos & Vehicles,ad about hyundai santa fe showing its advantages over its competitors
https://www.youtube.com/watch?v=OKXBnR3N4Hc,irrelevant,Tech & Gadgets,Ad showing Verison's carrier supported iphone models
https://www.youtube.com/watch?v=5t_XFUloS0M,irrelevant,Finance & Legal,Legal advisory firm video
https://www.youtube.com/watch?v=kEMXZu2scKE,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=LaQSSiDE2uo,irrelevant,Software,Ad showing a person utilising Adobe's cloud hosting services
https://www.youtube.com/watch?v=NQTlmeBEpiQ,irrelevant,Home and Lifestyle,bathroom utilities ad
https://www.youtube.com/watch?v=WeWt59ViaSE,irrelevant,Home and Lifestyle,ad pitching the sale of modernized beds
https://www.youtube.com/watch?v=cziU5vuwtbA,child directed,Toys,Ad showing different mobility features of a mariocart toy and a child controlling it with a remote
https://www.youtube.com/watch?v=WG5bVsbROz4,irrelevant,Software,Adobe acrobat PDF features promoted
https://www.youtube.com/watch?v=hXzcyx9V0xw,child directed,Movies,"trailer on the movie elemental, a movie based on residents having certain elemental characteristics"
https://www.youtube.com/watch?v=aoaizqRsptc,irrelevant,Fashion,ad on women's shoes
https://www.youtube.com/watch?v=XdpNEOnqqCA,irrelevant,Home and Lifestyle,Ad showing a woman checking furniture from the company Ashley
https://www.youtube.com/watch?v=4BlFe2X_u3U,child directed,DIY & Arts and Crafts,Ad for a company selling flowers for children to gift their moms. shows moms giving testimonials
https://www.youtube.com/watch?v=bTo9t443O18,child directed,Cartoons,peppa pig compilation.
https://www.youtube.com/watch?v=bzDD8ItXmXY,irrelevant,Software,Ad for metrics tracking hotjar. shows features such as a pay as you go model
https://www.youtube.com/watch?v=HEaikVlUgMY,irrelevant,Software,"Adobe's software showing a woman siging a contract for a kids playhouse. even though the video is child friendly, it is directed towards parents"
https://www.youtube.com/watch?v=S3GnywrceVc,irrelevant,Parenting & Family,Ad showing a baby crawling with diapers. Slides focused on parents buying diapers for their children
https://www.youtube.com/watch?v=TXtxUiddIT4,child directed,Play and Adventure,Ad focused on promoting Disney's resorts for children. Shows different venues and activities
https://www.youtube.com/watch?v=A1yf4Bs1m9g,irrelevant,Tech & Gadgets,Ad showing the cameras of Samsung's S23 series
https://www.youtube.com/watch?v=T5_WTs4y3uY,irrelevant,Software,Youtube Music. ad shows the app on a smartphone with a large catalogue
https://www.youtube.com/watch?v=eW_s6qSgtMg,irrelevant,Tech & Gadgets,samsung phone ad
https://www.youtube.com/watch?v=RxYzwSTlWqs,irrelevant,Sports & Athletics,Cycling company ad
https://www.youtube.com/watch?v=taMUZtGNCS4,irrelevant,Home and Lifestyle,Ad showing a father and daughter 
https://www.youtube.com/watch?v=GhhF8B48luE,irrelevant,Home and Lifestyle,ad for a memorial day sale on matresses. shows an athlete lying down on it after a game
https://www.youtube.com/watch?v=_T6D2JOszBs,irrelevant,Autos & Vehicles,ad of a acura car
https://www.youtube.com/watch?v=ZT2UXcxTjLk,irrelevant,Software,ad for an ecommerce website showing potential sales
https://www.youtube.com/watch?v=Hb6ZMPgpwLo,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=N2VaBxkJfSw,irrelevant,Software,video description for mlb games
https://www.youtube.com/watch?v=ctEx2nuoodM,irrelevant,Education & Learning,Ad showing a woman exploring different subjects at syracuse university
https://www.youtube.com/watch?v=_UFkghfhSa4,irrelevant,Machinery,slides of a company selling flow meters. explains advantages
https://www.youtube.com/watch?v=G7U7vt9bGy8,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=qYgly9fnr1Q,irrelevant,Home and Lifestyle,Ad showing a home tour by an interior designer
https://www.youtube.com/watch?v=SFMTA6h0cW4,child directed,Educational Content,ad about a Math and logic based visual game.  Contained no monetary information
https://www.youtube.com/watch?v=YkVSw2RFGmY,child directed,Storytelling,Ad showing an animation of peppa pig in her house
https://www.youtube.com/watch?v=Mi1uEmRgJZU,child directed,Cartoons,video from Star Wars: Young Jedi Adventures showing the characters going on an adventure to get a special flower
https://www.youtube.com/watch?v=Zmootr2iLYA,irrelevant,Finance & Legal,Ad about a report on taxes and compliance laws
https://www.youtube.com/watch?v=hyb0X-2tO4Y,irrelevant,Autos & Vehicles,ad showing a honda car being driven in various terrains.
https://www.youtube.com/watch?v=S1JWPjoGR8Q,irrelevant,Software,"Ad for ecosia, a search engine that plants trees for searches"
https://www.youtube.com/watch?v=l32QivrokIs,irrelevant,Autos & Vehicles,ad of a honda car
https://www.youtube.com/watch?v=_OhqVItlc78,irrelevant,Parenting & Family,Ad showing a conversation between two people where one tells they got flowers for their mom through the website
https://www.youtube.com/watch?v=67NS-x1hodw,child directed,Movies,movie trailer showing the popular nintendo charater mario
https://www.youtube.com/watch?v=faiqd9Crpmg,irrelevant,Software,airbnb software ad for ease of tourism. Aimed at adults
https://www.youtube.com/watch?v=GpWuWF-x2js,inappropriate,Explicit Sexual Content,"movie trailer for the film Are you there god? Has themes surrounding sexuality, mensturation etc."
https://www.youtube.com/watch?v=hrM_LP1wYuw,irrelevant,Finance & Legal,ad on credit unions promoting finance
https://www.youtube.com/watch?v=7uQFFSIWLQE,irrelevant,Software,shows school teenagers using adobe softwares to create flyers
https://www.youtube.com/watch?v=J2ErJp5HZKU,irrelevant,Software,ad about a software service to check website analytics
https://www.youtube.com/watch?v=2Lo6DbYZ7Tc,child directed,Poems/Songs/Nursery Rhymes/Music,Ad by Youtube promoting youtube music for children audios
https://www.youtube.com/watch?v=MzS4HXjYYsE,irrelevant,Fashion,Ad for a men clothing lineup hosted by the actor chris pratt
https://www.youtube.com/watch?v=tjhCxe0CUlk,child directed,Poems/Songs/Nursery Rhymes/Music,Ad for a kids cartoon song
https://www.youtube.com/watch?v=M6CC3qgk9LE,irrelevant,Gaming & Entertainment,"Ad for legend of zelda, no explicit violence"
https://www.youtube.com/watch?v=6QoIhJYkRvc,irrelevant,Travel & Adventure,Ad for a fishing vlog
https://www.youtube.com/watch?v=H30bJzJ9aS8,irrelevant,Autos & Vehicles,Ad for audi's car lineup and features
https://www.youtube.com/watch?v=DYktBJpSCVo,irrelevant,Home and Lifestyle,Ad for a different assortment of home blankets and sheets
https://www.youtube.com/watch?v=og44o8EpaaM,irrelevant,Autos & Vehicles,Ad comaring Hyundai's offerings with Nissan's 
https://www.youtube.com/watch?v=5bgkhp-lz_Q,irrelevant,Software,Ad for a website and seo software
https://www.youtube.com/watch?v=E501YvJgNdA,child directed,Cartoons,Ad for child personal development
https://www.youtube.com/watch?v=10NuWGwQBIk,inappropriate,Scariness,Ad for a horror game. Has music/images that could be distressful
https://www.youtube.com/watch?v=EHxvnhw1Uyc,irrelevant,Gaming & Entertainment,Ad for a lego based driving game
https://www.youtube.com/watch?v=LtApwvdzB_o,irrelevant,Autos & Vehicles,Ad comaring Hyundai's offerings with Toyota's 
https://www.youtube.com/watch?v=LbgSHWiAYo0,irrelevant,Fashion,Ad for a fashion show
https://www.youtube.com/watch?v=P6I09HO3Los,irrelevant,Home and Lifestyle,Ad for a supermarket's assistance for new parents
https://www.youtube.com/watch?v=-dEp-PXUX3Y,irrelevant,Home and Lifestyle,Ad for smart thermostats for use indoors
https://www.youtube.com/watch?v=NtL9g-awCEY,irrelevant,Gaming & Entertainment,Ad for a lego based driving game
https://www.youtube.com/watch?v=nptWP7G8hOY,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=MZadnfxIHP0,irrelevant,Travel & Adventure,Ad for a cruise by disney. also aimed for adults with families
https://www.youtube.com/watch?v=ZnBRctb1qWc,irrelevant,Home and Lifestyle,Ad for a matress to assist with snoring
https://www.youtube.com/watch?v=o-WbaECtu2s,irrelevant,Autos & Vehicles,Ad for a wax for car cleaning
https://www.youtube.com/watch?v=SsL6RVQlIRk,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=lAmZ8lk91ow,irrelevant,Home and Lifestyle,Ad for a matress sale
https://www.youtube.com/watch?v=S0Itpvm0D88,irrelevant,Home and Lifestyle,Ad for a matress sale at ashley
https://www.youtube.com/watch?v=bp7exaWdIVk,inappropriate,Display of weapons,Ad for Peter Pan by disney. Contains scenes of slight violence
https://www.youtube.com/watch?v=998MLAXmtys,irrelevant,Travel & Adventure,Ad for tourism in panama
https://www.youtube.com/watch?v=acHWusVlU_M,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=0ugMdmCxqKU,irrelevant,Software,Ad for a website and seo software
